OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM
15296,1988,CA,USF,SNF,HUEY,00000000,1988/07/23 00:00:00+00,1988/07/30 00:00:00+00,1,,28,13.28475285,8,1,00000148
15297,1988,CA,USF,SNF,GRETCHEN,00000000,1988/07/27 00:00:00+00,1988/08/14 00:00:00+00,1,,28,18.78284836,8,1,00000172
15298,1988,CA,USF,SNF,DESK,00000000,1988/07/27 00:00:00+00,1988/08/25 00:00:00+00,1,,45,122.3105545,8,1,00000183
15299,1988,CA,USF,SNF,EL PORTAL,00000000,1988/08/01 00:00:00+00,1988/08/04 00:00:00+00,9,,185,150.91271973,8,1,00000187
15300,1988,CA,USF,SNF,FAWN,00000000,1988/08/03 00:00:00+00,1988/08/25 00:00:00+00,1,,150,123.37671661,8,1,00000191
15301,1988,CA,USF,SNF,GARNET,00000000,1988/08/29 00:00:00+00,1988/09/02 00:00:00+00,1,,1725,2244.90405273,8,1,00000248
15302,1988,CA,USF,SQF, ,00000000,1988/06/23 00:00:00+00,1988/06/25 00:00:00+00,1,,375,381.35961914,8,1,00000050
15303,1988,CA,USF,SQF,HAVILAH,00000000,1988/08/11 00:00:00+00,1988/08/14 00:00:00+00,3,,1573,1489.36547852,8,1,00000157
15304,1988,CA,USF,SQF, ,00000000,1988/07/21 00:00:00+00,1988/07/22 00:00:00+00,1,,995,977.05554199,8,1,00000074
15305,1988,CA,USF,SQF, ,00000000,1988/05/15 00:00:00+00,1988/05/16 00:00:00+00,2,,650,293.75558472,8,1,00000017
15306,1988,CA,USF,SQF, ,00000000,1988/07/04 00:00:00+00,1988/07/05 00:00:00+00,3,,570,665.82330322,8,1,00000061
15307,1988,CA,USF,SNF,OBELISK,00000000,1988/07/24 00:00:00+00,1988/10/31 00:00:00+00,1,,8000,5420.90380859,8,1,00000124
15308,1988,CA,USF,STF,BOARDS,00000000,1988/07/04 00:00:00+00,1988/07/05 00:00:00+00,4,,35,26.73049545,8,1,00000122
15309,1989,CA,USF,SRF,OLSEN,00000000,1989/12/21 00:00:00+00,1989/12/21 00:00:00+00,5,,5,4.97885704,8,1,00000032
15310,1989,CA,USF,SRF,CONSKY,00000000,1989/10/20 00:00:00+00,1989/10/20 00:00:00+00,5,,40,34.29976273,8,1,00000030
15311,1990,CA,USF,ENF, ,00000000,1990/04/30 00:00:00+00,1990/04/30 00:00:00+00,5,,10,7.98370647,8,1,00000003
15312,1990,CA,USF,SHF,BOW,00000000,1990/08/08 00:00:00+00,1990/08/14 00:00:00+00,1,,650,550.69049072,8,1,00000246
15313,1990,CA,USF,PNF, ,00000000,1990/08/06 00:00:00+00,1990/08/08 00:00:00+00,1,,15,19.91926003,8,1,00000094
15314,1990,CA,USF,PNF, ,00000000,1990/08/06 00:00:00+00,1990/08/07 00:00:00+00,1,,15,8.83809376,8,1,00000083
15315,1990,CA,USF,PNF,WALKER,00000000,1990/08/06 00:00:00+00,1990/08/08 00:00:00+00,1,,1100,1495.73388672,8,1,00000079
15316,1990,CA,USF,PNF,GREENHORN,00000000,1990/06/29 00:00:00+00,1990/07/03 00:00:00+00,8,,480,496.78890991,8,1,00000023
